UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure Injected
1,-0.9523894433829584,-0.9473598877173782,0.06818514034143,0.2821997560241306,-1.6959837443286896,0,0,0,0,0,0,1
2,-0.9023934097553372,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.6330622270970725,0,0,0,0,0,0,1
3,-0.9523894433829584,-1.0147607733229451,-0.2274498401554495,0.9442896250860024,-1.5858513910479244,0,0,0,0,0,0,1
4,-0.9023934097553372,-0.9473598877173782,-0.5900210426516227,-0.0488451785068049,-1.5386405549987763,0,0,0,0,0,0,1
5,-0.9023934097553372,-0.8799590021118496,-0.7294715051501508,0.0013131449069732,-1.4914297189496282,0,0,0,0,0,0,1
6,-0.9523894433829584,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.44421888290048,0,0,0,0,0,0,1
7,-0.9523894433829584,-0.9473598877173782,0.1072312698410179,0.2420730972931082,-1.381297365668863,0,0,0,0,0,0,1
8,-0.9523894433829584,-0.9473598877173782,-0.0656873036571569,0.0213764742724847,-1.3340865296197153,0,0,0,0,0,0,1
9,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271683,-1.286875693570567,0,0,0,0,0,0,1
10,-0.7524053088724167,-0.677756345295187,1.1280086553302435,-1.2024866170237023,-1.2239541763389499,0,0,0,0,0,0,1
11,-0.8024013425000663,-0.7451572309007539,1.35670741382783,-1.6137848690166836,-1.161032659107333,0,0,0,0,0,0,1
12,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.0666897795107786,0,0,0,0,0,0,1
13,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928483,-0.9723468999142239,0,0,0,0,0,0,1
14,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-0.9094253826826071,0,0,0,0,0,0,1
15,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751757,-0.84650386545099,0,0,0,0,0,0,1
16,-0.7024092752447672,-0.5429545740840913,0.0179829738419599,0.8439729782584461,-0.7992930294018419,0,0,0,0,0,0,1
